date,site,latitude,longitude,co,nox,no2,o3,so2,pm10,pm25
2015-02-02 14:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,279.79397,100.40816,,,21.066,
2022-04-09 15:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,32.90833,19.1473,,,,
2020-08-12 21:00:00,Aberdeen Wellington Road,57.133888,-2.094198,,166.98596,53.04763,,,,
2018-10-12 19:00:00,Birmingham Ladywood,52.481346,-1.918235,,,,,,21.4,12.4
2017-02-02 01:00:00,Billingham,54.60537,-1.275039,,13.85463,12.47954,,,,
2021-09-03 08:00:00,Barnsley Gawber,53.56292,-1.510436,,,,25.39528,2.69696,,
2020-11-07 13:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,111.41529,34.09057,,,14.493,
2019-08-08 10:00:00,Ballymena Antrim Road,54.851491,-6.274961,,43.19151,20.30317,,,,
2021-03-12 01:00:00,Ballymena Antrim Road,54.851491,-6.274961,,,,,,,
2021-06-06 06:00:00,Bath A4 Roadside,51.390922,-2.35503,,25.86813,15.70213,,,,
2017-04-06 09:00:00,Blackburn Accrington Road,53.747763,-2.45268,,10.19458,5.12168,,,,
2022-12-01 16:00:00,Ballymena Antrim Road,54.851491,-6.274961,,99.21365,34.5163,,,,
2019-06-12 01:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,8.35287,5.92423,,,5.797,
2022-03-02 11:00:00,Birkenhead Borough Road,53.388624,-3.024942,,,,,,,
2022-02-04 20:00:00,Bath A4 Roadside,51.390922,-2.35503,,65.4752,45.16524,,,,
2016-03-07 14:00:00,Belfast Centre,54.59965,-5.928833,0.026195,10.17737,6.0698,55.33078,0.26875,4.43,4.03
2015-01-10 10:00:00,Aberdeen Union Street Roadside,57.144555,-2.106472,,319.52042,75.89135,,,,
2023-01-04 06:00:00,Bath A4 Roadside,51.390922,-2.35503,,25.85861,14.81848,,,,
2018-04-11 01:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,24.35923,15.54964,44.96977,,20.3,11.6
2021-11-10 07:00:00,Birmingham Ladywood,52.481346,-1.918235,,103.51503,52.24592,6.29115,0.75378,25.8,11.25
2023-04-09 07:00:00,Billingham,54.60537,-1.275039,,37.11144,21.13505,,,,
2019-11-01 08:00:00,Belfast Centre,54.59965,-5.928833,0.162558,,,3.9914,1.60903,15.4,12.6
2023-02-07 15:00:00,Birmingham A4540 Roadside,52.476145,-1.874978,,38.44119,18.29301,66.25724,,9.65,4.458
2021-10-06 03:00:00,Belfast Stockman's Lane,54.572586,-5.974944,,19.39638,8.09542,,,5.797,
2021-04-05 09:00:00,Ballymena Antrim Road,54.851491,-6.274961,,17.0075,7.65425,,,,
2023-05-02 10:00:00,Blackburn Accrington Road,53.747763,-2.45268,,90.34692,47.40208,,,,
2023-08-05 13:00:00,Belfast Centre,54.59965,-5.928833,0.071721,17.50385,13.03515,73.54928,0.21294,10.5,4.434
